name,working,number,number2,address
101. 합정동 주민센터,운영중,5,7,서울특별시 마포구 동교로8길 58 444-12
102. 망원역 1번출구 앞,운영중,20,19,서울특별시 마포구 월드컵로 72 475-54
103. 망원역 2번출구 앞,운영중,14,14,서울특별시 마포구 월드컵로 79 378-18
104. 합정역 1번출구 앞,운영중,13,5,서울특별시 마포구 양화로 59 393-7
105. 합정역 5번출구 앞,운영중,5,2,서울특별시 마포구 양화로 48 394-95
106. 합정역 7번출구 앞,운영중,10,6,서울특별시 마포구 독막로 4 381-1
107. 신한은행 서교동금융센터점 앞,운영중,5,10,서울특별시 마포구 월드컵북로 35 449-28
108. 서교동 사거리,운영중,10,7,서울특별시 마포구 양화로 93 427
109. 제일빌딩 앞,운영중,10,9,서울특별시 마포구 어울마당로 26 12-2
111. 상수역 2번출구 앞,운영중,10,5,서울특별시 마포구 와우산로 40 309-10
112. 극동방송국 앞,운영중,10,9,서울특별시 마포구 와우산로 56 89-2
113. 홍대입구역 2번출구 앞,운영중,25,16,서울특별시 마포구 양화로 165 156-8
114. 홍대입구역 8번출구 앞,운영중,15,12,서울특별시 마포구 양화로18길 3 192-5
115. 사루비아 빌딩 앞,운영중,15,9,서울특별시 서대문구 연희로 6 516
116. 일진아이윌아파트 옆,운영중,5,10,서울특별시 서대문구 동교로 290 일진아이윌아파트 옆
118. 광흥창역 2번출구 앞,운영중,10,10,서울특별시 마포구 독막로 지하165 243-3
119. 서강나루 공원,운영중,10,5,서울특별시 마포구 창전로 30 서강나루공원
120. 신수동 사거리,운영중,5,2,서울특별시 마포구 토정로 211 371-11
121. 마포소방서 앞,운영중,15,9,서울특별시 마포구 창전로 76 100-18
122. 신성기사식당 앞,운영중,10,12,서울특별시 마포구 독막로 223-1 50-2
124. 서강대 정문 건너편,운영중,20,16,서울특별시 마포구 서강로16길 72 84-5
125. 서강대 남문 옆,운영중,15,10,서울특별시 마포구 백범로 35 1-30
126. 서강대 후문 옆,운영중,20,21,서울특별시 마포구 대흥로 122 38-16
127. 현대벤처빌 앞,운영중,15,2,서울특별시 마포구 백범로 10 31-213
128. 신촌역(2호선) 1번출구 옆,운영중,20,18,서울특별시 서대문구 연세로 3-5 30-16
129. 신촌역(2호선) 6번출구 옆,운영중,15,6,서울특별시 마포구 신촌로 106 31-123
130. 신촌역(2호선) 7번출구 앞,운영중,5,6,서울특별시 마포구 신촌로 94 31-123
131. 신촌1지점 공용주차장,운영중,25,28,서울특별시 마포구 신촌로18길 9 49-53
132. 창천문화공원,운영중,15,0,서울특별시 서대문구 연세로5나길 19 53-47
133. 창서초등학교 뒤,운영중,5,1,서울특별시 서대문구 연세로7길 56 53-47
134. 연세로 명물길,운영중,8,1,서울특별시 서대문구 명물길 33 31-69
135. 명물길 원형무대 앞,운영중,10,9,서울특별시 서대문구 명물길 33 31-69
136. 대흥동 주민센터,운영중,7,4,서울특별시 마포구 신촌로26길 10 1-83
137. NH농협 신촌지점 앞,운영중,10,4,서울특별시 서대문구 연세로2다길 58 60-11
138. 신촌동 제1공영주차장 앞,운영중,10,4,서울특별시 서대문구 성산로22길 40 70-55
139. 연세대 정문 건너편,운영중,13,5,서울특별시 서대문구 연세로 42 76-25
140. 이화여대 후문,운영중,20,8,서울특별시 서대문구 연세로 50-1 89-4
141. 연대 대운동장 옆,운영중,20,18,서울특별시 서대문구 연세로 50 27
200. 국회의원회관,운영중,20,13,서울특별시 영등포구 의사당대로 1 1
201. 진미파라곤 앞,운영중,15,3,서울특별시 영등포구 국회대로76길 10 13-1
202. 국민일보 앞,운영중,15,9,서울특별시 영등포구 여의공원로 101 101
203. 국회의사당역 3번출구 옆,운영중,15,4,서울특별시 영등포구 국회대로 지하758 758
204. 국회의사당역 5번출구 옆,운영중,13,7,서울특별시 영등포구 의사당대로 8 8
205. 산업은행 앞,운영중,15,13,서울특별시 영등포구 의사당대로 97 97
206. KBS 앞,운영중,20,6,서울특별시 영등포구 여의공원로 13 13
207. 여의나루역 1번출구 앞,운영중,22,21,서울특별시 영등포구 여의동로 지하343 여의나루역 1번출구 앞
209. 유진투자증권빌딩 앞,운영중,12,7,서울특별시 영등포구 국제금융로 24 24-3
210. 신한금융투자후문 앞,운영중,12,0,서울특별시 영등포구 은행로 59 2-11
211. 여의도역 4번출구 옆,운영중,13,0,서울특별시 영등포구 국회대로68길 7 26
212. 여의도역 1번출구 옆,운영중,35,12,서울특별시 영등포구 의사당대로 88 27-1
213. KT앞,운영중,15,9,서울특별시 영등포구 여의대로 38 27
214. 금융감독원 앞,운영중,20,2,서울특별시 영등포구 여의대로 38 금융감독원 앞
215. 여의도고교 앞,운영중,10,9,서울특별시 영등포구 국제금융로7길 37 여의도고등학교 앞
216. 삼부아파트1동 앞,운영중,10,12,서울특별시 영등포구 국제금융로7길 27 삼부아파트 1동 앞
217. NH농협은행 앞,운영중,10,3,서울특별시 영등포구 국제금융로8길 2 NH농협은행 앞
218. 증권거래소 앞,운영중,20,11,서울특별시 영등포구 여의나루로 76 증권거래소 앞
219. 롯데캐슬엠파이어 옆,운영중,12,7,서울특별시 영등포구 의사당대로 127 롯데캐슬엠파이어 옆
220. 미성아파트 A동 앞,운영중,30,5,서울특별시 영등포구 의사당대로 110 미성아파트 A동 앞
221. 여의도초교 앞,운영중,10,9,서울특별시 영등포구 여의대방로 439 여의도초등학교 앞
222. 시범아파트버스정류장 옆,운영중,12,12,서울특별시 영등포구 63로 45 시범아파트버스정류장 옆
223. 진주아파트상가 앞,운영중,20,11,서울특별시 영등포구 국제금융로 108-6 진주아파트상가 앞
224. 롯데캐슬 앞,운영중,20,11,서울특별시 영등포구 국제금융로 86 롯데캐슬 앞
225. 앙카라공원 앞,운영중,26,20,서울특별시 영등포구 의사당대로 지하166 앙카라공원 앞
226. 샛강역 1번출구 앞,운영중,20,6,서울특별시 영등포구 의사당대로 지하166 샛강역 1번출구 앞
300. 정동사거리,운영중,7,6,서울특별시 중구 정동길 2-1 정동사거리
301. 경복궁역 7번출구 앞,운영중,7,8,서울특별시 종로구 사직로 지하130 경복궁역 7번출구 앞
302. 경복궁역 4번출구 뒤,운영중,7,9,서울특별시 종로구 사직로 지하130 경복궁역 4번출구 뒤
303. 광화문역 1번출구 앞,운영중,8,3,서울특별시 종로구 세종대로 지하189 세종로공원
304. 광화문역 2번출구 앞,운영중,7,4,서울특별시 종로구 세종대로 지하172 광화문역 2번출구 앞
305. 종로구청 옆,운영중,6,2,서울특별시 종로구 삼봉로 43 종로구청 옆
306. 광화문역 7번출구 앞,운영중,9,3,서울특별시 종로구 세종대로 지하172 광화문역 7번출구 앞
307. 서울역사박물관 앞,운영중,11,5,서울특별시 종로구 새문안로 55 서울역사박물관 앞
308. 광화문 S타워 앞,운영중,10,6,서울특별시 종로구 새문안로 82 광화문S타워 앞
309. 광화문역 6번출구 옆,운영중,13,6,서울특별시 종로구 세종대로 지하172 광화문역 6번출구 옆
310. 청계광장 옆,운영중,10,3,서울특별시 중구 세종대로 136 청계광장 옆
311. 서울광장 옆,운영중,20,10,서울특별시 중구 을지로 지하12 서울광장 옆
312. 시청역 1번출구 뒤,운영중,7,2,서울특별시 중구 세종대로 지하101 1번출구 뒤
313. 서울역 광장 파출소 옆,운영중,5,4,서울특별시 중구 통일로 13 서울역 광장 파출소 옆
314. 국립현대미술관,운영중,10,7,서울특별시 종로구 삼청로 30 국립현대미술관 서울관
315. 신한은행 안국역지점 옆,운영중,4,1,서울특별시 종로구 율곡로 33 신한은행 안국역지점 옆
316. 종각역 1번출구 앞,운영중,8,2,서울특별시 종로구 종로 47 종각역 1번출구 앞
